ID,PPbroad,PPspecific,LCnumber,LCcategory
1,Ancient Greek and Roman Philosophy,Classical Greek Philosophy,B 168-491,B 165-491 Greece
2,Ancient Greek and Roman Philosophy,Hellenistic and Later Ancient Philosophy,B 504-708,B 505-626 Greco-Roman Philosophy
3,Ancient Greek and Roman Philosophy,Pre-Socratic Philosophy,B 204-341,B 165-491 Greece
4,Ancient Greek and Roman Philosophy,Plato,B 350-398,B 165-491 Greece
5,Ancient Greek and Roman Philosophy,Aristotle,B 400-491 & Q something,B 165-491 Greece
6,Ancient Greek and Roman Philosophy,Topics in Ancient Greek and Roman Philosophy,B 168-200,B 165-491 Greece
7,Medieval and Renaissance Philosophy,Medieval Islamic Philosophy,B 748-753,B 720-765 Medieval Philosophy
8,Medieval and Renaissance Philosophy,Medieval Jewish Philosophy,B 755-759,B 720-765 Medieval Philosophy
9,Medieval and Renaissance Philosophy,Medieval European Philosophy,B 765,B 720-765 Medieval Philosophy
10,Medieval and Renaissance Philosophy,15th-16th c. Renaissance Philosophy,B 770-785,B 770-785 Renaissance Philosophy
11,Medieval and Renaissance Philosophy,Topics in Medieval Philosophy,B 720-745,B 720-765 Medieval Philosophy
12,17th-18th Century Philosophy,17th-18th c. British Philosophy,B 1131-1402,B 790-4695 Modern Philosophy
13,17th-18th Century Philosophy,17th-18th c. French Philosophy,B 1815-2179,B 1801-2430 France
14,17th-18th Century Philosophy,17th-18th c. German Philosophy,B 2535-3177,B 2521-3396 Germany & Austria
15,17th-18th Century Philosophy,17th-18th c. Philosophy (General),B 801-802,B 791-804 General Works
16,19th Century Philosophy,Hegel,B 2900-2949,B 2521-3396 Germany & Austria
17,19th Century Philosophy,Kant,B 2750-2799,B 2521-3396 Germany & Austria
18,19th Century Philosophy,Spinoza,B 3950-4000,B 3801-4175 The Netherlands & Belgium
19,19th Century Philosophy,Kierkegaard,B 4369-4378,B 4301-4495 Scandinavia
